ID ,Edad_Texto,Precio$,Fecha_Inconsistente,Categoría,Valor_Con_Outliers,Campo_Con_Muchos_Nulos,Columna_Muy_Larga_Con_Nombre_Poco_Descriptivo_Que_Debería_Ser_Más_Corta,X1,
ID_001,56,191.60,07-07-2025,tipo a,52.79,Opción 2,valor,4,columna_sin_nombre
ID_002,61,10.77,2025/02/17,tipo a,60.11,,valor,1,columna_sin_nombre
ID_003,44,"148,10",30/10/2024,TIPO A,51.42,,valor,3,columna_sin_nombre
ID_004,38,23.13,14/07/2025,tipo a,49.65,Opción 3,valor,4,columna_sin_nombre
ID_005,24,"834,86",2025/05/08,tipo a,37.35,,valor,2,columna_sin_nombre
ID_006,46,777.38,31-10-2024,Tipo_A,60.92,,valor,4,columna_sin_nombre
ID_007,62,"830,45",2024/11/18,Tipo_A,40.47,Opción 1,valor,4,columna_sin_nombre
ID_008,18,15.47,2025/05/08,TIPO A,39.52,,valor,2,columna_sin_nombre
ID_009,56,915.81,02/11/2024,Tipo A,48.22,,valor,4,columna_sin_nombre
ID_010,39,"477,49",2025-03-19,TipoA,45.9,,valor,3,columna_sin_nombre
ID_011,44,"433,27",30-01-2025,Tipo A,50.92,Opción 1,valor,3,columna_sin_nombre
ID_012,60,943.43,27/11/2024,Tipo_A,30.12,,valor,1,columna_sin_nombre
ID_013,70,"805,64",15/10/2024,TIPO A,42.26,,valor,1,columna_sin_nombre
ID_014,74,"10,52",11-11-2024,TIPO A,46.4,Opción 3,valor,2,columna_sin_nombre
ID_015,61,"176,61",2024/12/07,Tipo A,49.85,,valor,3,columna_sin_nombre
ID_016,66,"997,76",26/07/2025,Tipo_A,49.73,Opción 1,valor,1,columna_sin_nombre
ID_017,36,"535,63",2025/01/11,Tipo_A,47.86,,valor,1,columna_sin_nombre
ID_018,69,404.84,2025-03-06,Tipo A,43.11,Opción 1,valor,3,columna_sin_nombre
ID_019,37,228.04,2025/03/03,Tipo_A,48.57,,valor,3,columna_sin_nombre
ID_020,45,216.98,03-10-2024,Tipo_A,56.17,,valor,4,columna_sin_nombre
ID_021,77,996.29,2025/06/21,TIPO A,43.99,,valor,4,columna_sin_nombre
ID_022,41,888.89,2025/04/06,Tipo_A,41.53,,valor,3,columna_sin_nombre
ID_023,65,"666,87",24/08/2024,TIPO A,38.09,Opción 1,valor,4,columna_sin_nombre
ID_024,37,746.73,2025-03-22,Tipo_A,56.57,,valor,2,columna_sin_nombre
ID_025,63,"979,10",06-11-2024,TIPO A,50.13,,valor,1,columna_sin_nombre
ID_026,77,"287,96",2025/06/09,Tipo A,64.54,,valor,2,columna_sin_nombre
ID_027,70,750.24,2024-08-13,TipoA,53.36,,valor,4,columna_sin_nombre
ID_028,40,"490,43",17/12/2024,tipo a,50.51,Opción 2,valor,4,columna_sin_nombre
ID_029,64,148.68,2024/10/28,Tipo A,54.19,Opción 2,valor,3,columna_sin_nombre
ID_030,67,914.11,2024/09/18,TipoA,42.72,Opción 2,valor,4,columna_sin_nombre
ID_031,31,"344,62",2024/09/09,TIPO A,73.15,,valor,2,columna_sin_nombre
ID_032, 66 ,"824,37",2025-04-18,TipoA,31.33,,valor,3,columna_sin_nombre
ID_033,21,"202,44",07-08-2024,Tipo_A,36.92,Opción 2,valor,1,columna_sin_nombre
ID_034,79,"699,01",31/05/2025,Tipo A,30.09,Opción 2,valor,4,columna_sin_nombre
ID_035,42,287.13,17-01-2025,TipoA,36.73,,valor,1,columna_sin_nombre
ID_036, 39 ,"124,91",25/04/2025,Tipo_A,68.44,Opción 2,valor,4,columna_sin_nombre
ID_037,38,"181,47",05/07/2025,tipo a,50.02,,valor,4,columna_sin_nombre
ID_038,41,944.81,18-02-2025,Tipo_A,57.56,,valor,4,columna_sin_nombre
ID_039,50,550.16,2024-09-08,Tipo A,38.55,Opción 2,valor,2,columna_sin_nombre
ID_040, 78 ,"686,18",2024-11-06,tipo a,55.91,,valor,3,columna_sin_nombre
ID_041,58,"695,96",2025-05-14,Tipo_A,54.49,,valor,4,columna_sin_nombre
ID_042,52,"418,49",2025/04/23,TipoA,49.21,,valor,3,columna_sin_nombre
ID_043,42,383.95,2025/05/05,Tipo A,56.82,Opción 1,valor,3,columna_sin_nombre
ID_044,29,957.23,06-06-2025,tipo a,46.9,,valor,3,columna_sin_nombre
ID_045,29,675.79,2025/02/27,Tipo A,68.14,,valor,2,columna_sin_nombre
ID_046,61,"840,10",10/02/2025,Tipo A,54.05,,valor,1,columna_sin_nombre
ID_047, 46 ,"986,77",10/09/2024,Tipo_A,52.9,,valor,4,columna_sin_nombre
ID_048,48,384.21,07/01/2025,TIPO A,48.13,,valor,1,columna_sin_nombre
ID_049,67,"65,74",14-09-2024,Tipo A,58.4,,valor,4,columna_sin_nombre
ID_050, 66 ,"533,09",2025/05/31,TipoA,61.33,Opción 1,valor,4,columna_sin_nombre
ID_051,71,"919,92",2025/03/03,Tipo A,72.76,,valor,1,columna_sin_nombre
ID_052,71,"902,15",16/07/2025,Tipo_A,54.06,,valor,2,columna_sin_nombre
ID_053,45,"394,39",2025/06/30,TipoA,53.42,,valor,4,columna_sin_nombre
ID_054,65,911.82,07-05-2025,TipoA,68.76,,valor,4,columna_sin_nombre
ID_055,47,"54,77",12/10/2024,Tipo A,53.41,,valor,1,columna_sin_nombre
ID_056,39,"573,39",14-04-2025,Tipo A,498.62,Opción 1,valor,1,columna_sin_nombre
ID_057,48,914.03,2025-06-05,tipo a,45.5,Opción 3,valor,1,columna_sin_nombre
ID_058,30,879.44,2025/06/24,tipo a,56.23,,valor,3,columna_sin_nombre
ID_059,76,818.22,18-12-2024,Tipo A,44.37,,valor,2,columna_sin_nombre
ID_060,19,904.12,14/12/2024,tipo a,75.39,,valor,3,columna_sin_nombre
ID_061,68,354.77,2024/08/27,tipo a,32.97,,valor,1,columna_sin_nombre
ID_062,19,"637,07",2025-04-08,TIPO A,49.44,,valor,4,columna_sin_nombre
ID_063,21,"897,82",2025/04/26,tipo a,36.34,,valor,2,columna_sin_nombre
ID_064, 78 ,553.23,16/07/2025,tipo a,55.04,,valor,3,columna_sin_nombre
ID_065, 26 ,486.33,02/06/2025,TIPO A,58.51,Opción 3,valor,3,columna_sin_nombre
ID_066,73,"622,07",24/12/2024,TipoA,43.8,Opción 3,valor,3,columna_sin_nombre
